timestamp,signal,value,label,true_ttf
6538,loop_latency,0,normal,
6639,heap_free,8112,normal,
6639,heap_used,0,normal,
6639,loop_latency,0,normal,
6739,heap_free,8112,normal,
6739,heap_used,0,normal,
6739,loop_latency,0,normal,
6840,heap_free,8112,normal,
6840,heap_used,0,normal,
6840,loop_latency,0,normal,
6940,heap_free,8112,normal,
6940,heap_used,0,normal,
6941,loop_latency,1,normal,
7041,heap_free,8112,normal,
7041,heap_used,0,normal,
7041,loop_latency,0,normal,
7142,heap_free,8112,normal,
7142,heap_used,0,normal,
7142,loop_latency,0,normal,
7242,heap_free,8112,normal,
7242,heap_used,0,normal,
7242,loop_latency,0,normal,
7343,heap_free,8112,normal,
7343,heap_used,0,normal,
7343,loop_latency,0,normal,
7443,heap_free,8112,normal,
7443,heap_used,0,normal,
7444,loop_latency,1,normal,
7544,heap_free,8112,normal,
7544,heap_used,0,normal,
7544,loop_latency,0,normal,
7645,heap_free,8112,normal,
7645,heap_used,0,normal,
7645,loop_latency,0,normal,
7745,heap_free,8112,normal,
7745,heap_used,0,normal,
7745,loop_latency,0,normal,
7846,heap_free,8112,normal,
7846,heap_used,0,normal,
7846,loop_latency,0,normal,
7946,heap_free,8112,normal,
7946,heap_used,0,normal,
7947,loop_latency,1,normal,
8047,heap_free,8112,normal,
8047,heap_used,0,normal,
8047,loop_latency,0,normal,
8148,heap_free,8112,normal,
8148,heap_used,0,normal,
8148,loop_latency,0,normal,
8248,heap_free,8112,normal,
8248,heap_used,0,normal,
8248,loop_latency,0,normal,
8349,heap_free,8112,normal,
8349,heap_used,0,normal,
8349,loop_latency,0,normal,
8449,heap_free,8112,normal,
8449,heap_used,0,normal,
8450,loop_latency,1,normal,
8550,heap_free,8112,normal,
8550,heap_used,0,normal,
8550,loop_latency,0,normal,
8651,heap_free,8112,normal,
8651,heap_used,0,normal,
8651,loop_latency,0,normal,
8751,heap_free,8112,normal,
8751,heap_used,0,normal,
8751,loop_latency,0,normal,
8852,heap_free,8112,normal,
8852,heap_used,0,normal,
8852,loop_latency,0,normal,
8952,heap_free,8112,normal,
8952,heap_used,0,normal,
8953,loop_latency,1,normal,
9053,heap_free,8112,normal,
9053,heap_used,0,normal,
9053,loop_latency,0,normal,
9154,heap_free,8112,normal,
9154,heap_used,0,normal,
9154,loop_latency,0,normal,
9254,heap_free,8112,normal,
9254,heap_used,0,normal,
9254,loop_latency,0,normal,
9355,heap_free,8112,normal,
9355,heap_used,0,normal,
9355,loop_latency,0,normal,
9455,heap_free,8112,normal,
9455,heap_used,0,normal,
9456,loop_latency,1,normal,
9556,heap_free,8112,normal,
9556,heap_used,0,normal,
9556,loop_latency,0,normal,
9657,heap_free,8112,normal,
9657,heap_used,0,normal,
9657,loop_latency,0,normal,
9757,heap_free,8112,normal,
9757,heap_used,0,normal,
9757,loop_latency,0,normal,
9858,heap_free,8112,normal,
9858,heap_used,0,normal,
9858,loop_latency,0,normal,
9958,heap_free,8112,normal,
9958,heap_used,0,normal,
9959,loop_latency,1,normal,
10059,heap_free,7848,faulty,3.066
10059,heap_used,264,faulty,
10059,loop_latency,0,faulty,
10160,heap_free,7584,faulty,2.962
10160,heap_used,528,faulty,
10160,loop_latency,0,faulty,
10260,heap_free,7320,faulty,2.859
10260,heap_used,792,faulty,
10261,loop_latency,0,faulty,
10361,heap_free,7056,faulty,2.756
10361,heap_used,1056,faulty,
10361,loop_latency,0,faulty,
10461,heap_free,6792,faulty,2.653
10462,heap_used,1320,faulty,
10462,loop_latency,1,faulty,
10562,heap_free,6528,faulty,2.55
10562,heap_used,1584,faulty,
10562,loop_latency,0,faulty,
