timestamp,signal,value,label,true_ttf
6526,loop_latency,1,normal,
6626,heap_free,8112,normal,
6626,heap_used,0,normal,
6626,loop_latency,0,normal,
6726,heap_free,8112,normal,
6726,heap_used,0,normal,
6726,loop_latency,0,normal,
6827,heap_free,8112,normal,
6827,heap_used,0,normal,
6827,loop_latency,0,normal,
6927,heap_free,8112,normal,
6927,heap_used,0,normal,
6927,loop_latency,0,normal,
7027,heap_free,8112,normal,
7027,heap_used,0,normal,
7028,loop_latency,1,normal,
7128,heap_free,8112,normal,
7128,heap_used,0,normal,
7128,loop_latency,0,normal,
7228,heap_free,8112,normal,
7228,heap_used,0,normal,
7228,loop_latency,0,normal,
7329,heap_free,8112,normal,
7329,heap_used,0,normal,
7329,loop_latency,0,normal,
7429,heap_free,8112,normal,
7429,heap_used,0,normal,
7429,loop_latency,0,normal,
7529,heap_free,8112,normal,
7529,heap_used,0,normal,
7530,loop_latency,1,normal,
7630,heap_free,8112,normal,
7630,heap_used,0,normal,
7630,loop_latency,0,normal,
7730,heap_free,8112,normal,
7730,heap_used,0,normal,
7730,loop_latency,0,normal,
7831,heap_free,8112,normal,
7831,heap_used,0,normal,
7831,loop_latency,0,normal,
7931,heap_free,8112,normal,
7931,heap_used,0,normal,
7931,loop_latency,0,normal,
8031,heap_free,8112,normal,
8031,heap_used,0,normal,
8032,loop_latency,1,normal,
8132,heap_free,8112,normal,
8132,heap_used,0,normal,
8132,loop_latency,0,normal,
8232,heap_free,8112,normal,
8232,heap_used,0,normal,
8232,loop_latency,0,normal,
8333,heap_free,8112,normal,
8333,heap_used,0,normal,
8333,loop_latency,0,normal,
8433,heap_free,8112,normal,
8433,heap_used,0,normal,
8433,loop_latency,0,normal,
8533,heap_free,8112,normal,
8533,heap_used,0,normal,
8534,loop_latency,1,normal,
8634,heap_free,8112,normal,
8634,heap_used,0,normal,
8634,loop_latency,0,normal,
8734,heap_free,8112,normal,
8734,heap_used,0,normal,
8734,loop_latency,0,normal,
8835,heap_free,8112,normal,
8835,heap_used,0,normal,
8835,loop_latency,0,normal,
8935,heap_free,8112,normal,
8935,heap_used,0,normal,
8935,loop_latency,0,normal,
9035,heap_free,8112,normal,
9035,heap_used,0,normal,
9036,loop_latency,1,normal,
9136,heap_free,8112,normal,
9136,heap_used,0,normal,
9136,loop_latency,0,normal,
9236,heap_free,8112,normal,
9236,heap_used,0,normal,
9236,loop_latency,0,normal,
9337,heap_free,8112,normal,
9337,heap_used,0,normal,
9337,loop_latency,0,normal,
9437,heap_free,8112,normal,
9437,heap_used,0,normal,
9437,loop_latency,0,normal,
9537,heap_free,8112,normal,
9537,heap_used,0,normal,
9538,loop_latency,1,normal,
9638,heap_free,8112,normal,
9638,heap_used,0,normal,
9638,loop_latency,0,normal,
9738,heap_free,8112,normal,
9738,heap_used,0,normal,
9738,loop_latency,0,normal,
9839,heap_free,8112,normal,
9839,heap_used,0,normal,
9839,loop_latency,0,normal,
9939,heap_free,8112,normal,
9939,heap_used,0,normal,
9939,loop_latency,0,normal,
10044,heap_free,8112,normal,
10044,heap_used,0,normal,
10045,loop_latency,6,faulty,
10155,heap_free,8112,faulty,
10155,heap_used,0,faulty,
10155,loop_latency,10,faulty,
10270,heap_free,8112,faulty,
10270,heap_used,0,faulty,
10270,loop_latency,15,faulty,
10391,heap_free,8112,faulty,
10391,heap_used,0,faulty,
10391,loop_latency,20,faulty,
10516,heap_free,8112,faulty,
10516,heap_used,0,faulty,
10516,loop_latency,25,faulty,
10646,heap_free,8112,faulty,
10646,heap_used,0,faulty,
10647,loop_latency,31,faulty,
10782,heap_free,8112,faulty,
10782,heap_used,0,faulty,
10782,loop_latency,35,faulty,
10922,heap_free,8112,faulty,
10922,heap_used,0,faulty,
10922,loop_latency,40,faulty,
11068,heap_free,8112,faulty,
11068,heap_used,0,faulty,
11068,loop_latency,45,faulty,
11218,heap_free,8112,faulty,
11218,heap_used,0,faulty,
11218,loop_latency,50,faulty,
11373,heap_free,8112,faulty,
11373,heap_used,0,faulty,
11374,loop_latency,56,faulty,
11534,heap_free,8112,faulty,
11534,heap_used,0,faulty,
11534,loop_latency,60,faulty,
11699,heap_free,8112,faulty,
11699,heap_used,0,faulty,
11699,loop_latency,65,faulty,
11870,heap_free,8112,faulty,
11870,heap_used,0,faulty,
11870,loop_latency,70,faulty,
12045,heap_free,8112,faulty,
12045,heap_used,0,faulty,
12045,loop_latency,75,faulty,
12225,heap_free,8112,faulty,
12225,heap_used,0,faulty,
12226,loop_latency,81,faulty,
12411,heap_free,8112,faulty,
12411,heap_used,0,faulty,
12411,loop_latency,85,faulty,
12601,heap_free,8112,faulty,
12601,heap_used,0,faulty,
12601,loop_latency,90,faulty,
12797,heap_free,8112,faulty,
12797,heap_used,0,faulty,
12797,loop_latency,95,faulty,
12997,heap_free,8112,faulty,
12997,heap_used,0,faulty,
12997,loop_latency,100,faulty,
13202,heap_free,8112,faulty,
13202,heap_used,0,faulty,
13203,loop_latency,106,faulty,
13413,heap_free,8112,faulty,
13413,heap_used,0,faulty,
13413,loop_latency,110,faulty,
13628,heap_free,8112,faulty,
13628,heap_used,0,faulty,
13628,loop_latency,115,faulty,
13849,heap_free,8112,faulty,
13849,heap_used,0,faulty,
13849,loop_latency,120,faulty,
14074,heap_free,8112,faulty,
14074,heap_used,0,faulty,
14074,loop_latency,125,faulty,
14304,heap_free,8112,faulty,
14304,heap_used,0,faulty,
14305,loop_latency,131,faulty,
14540,heap_free,8112,faulty,
14540,heap_used,0,faulty,
14540,loop_latency,135,faulty,
14780,heap_free,8112,faulty,
14780,heap_used,0,faulty,
14780,loop_latency,140,faulty,
15026,heap_free,8112,faulty,
15026,heap_used,0,faulty,
15026,loop_latency,145,faulty,
15276,heap_free,8112,faulty,
15276,heap_used,0,faulty,
15276,loop_latency,150,faulty,
15531,heap_free,8112,faulty,
15531,heap_used,0,faulty,
15532,loop_latency,156,faulty,
15792,heap_free,8112,faulty,
15792,heap_used,0,faulty,
15792,loop_latency,160,faulty,
16057,heap_free,8112,faulty,
16057,heap_used,0,faulty,
16057,loop_latency,165,faulty,
16328,heap_free,8112,faulty,
16328,heap_used,0,faulty,
16328,loop_latency,170,faulty,
16603,heap_free,8112,faulty,
16603,heap_used,0,faulty,
16603,loop_latency,175,faulty,
16883,heap_free,8112,faulty,
16883,heap_used,0,faulty,
16884,loop_latency,181,faulty,
17169,heap_free,8112,faulty,
17169,heap_used,0,faulty,
17169,loop_latency,185,faulty,
17459,heap_free,8112,faulty,
17459,heap_used,0,faulty,
17459,loop_latency,190,faulty,
17755,heap_free,8112,faulty,
17755,heap_used,0,faulty,
17755,loop_latency,195,faulty,
18055,heap_free,8112,faulty,
18055,heap_used,0,faulty,
18055,loop_latency,200,faulty,
18360,heap_free,8112,faulty,
18360,heap_used,0,faulty,
18361,loop_latency,206,faulty,
18671,heap_free,8112,faulty,
18671,heap_used,0,faulty,
18671,loop_latency,210,faulty,
18986,heap_free,8112,faulty,
18986,heap_used,0,faulty,
18986,loop_latency,215,faulty,
19307,heap_free,8112,faulty,
19307,heap_used,0,faulty,
19307,loop_latency,220,faulty,
19632,heap_free,8112,faulty,
19632,heap_used,0,faulty,
19632,loop_latency,225,faulty,
19962,heap_free,8112,faulty,
19962,heap_used,0,faulty,
19963,loop_latency,231,faulty,
20298,heap_free,8112,faulty,
20298,heap_used,0,faulty,
20298,loop_latency,235,faulty,
20638,heap_free,8112,faulty,
20638,heap_used,0,faulty,
20638,loop_latency,240,faulty,
20984,heap_free,8112,faulty,
20984,heap_used,0,faulty,
20984,loop_latency,245,faulty,
21334,heap_free,8112,faulty,
21334,heap_used,0,faulty,
21334,loop_latency,250,faulty,
21689,heap_free,8112,faulty,
21689,heap_used,0,faulty,
21690,loop_latency,256,faulty,
22050,heap_free,8112,faulty,
22050,heap_used,0,faulty,
22050,loop_latency,260,faulty,
22415,heap_free,8112,faulty,
22415,heap_used,0,faulty,
22415,loop_latency,265,faulty,
22786,heap_free,8112,faulty,
22786,heap_used,0,faulty,
22786,loop_latency,270,faulty,
23161,heap_free,8112,faulty,
23161,heap_used,0,faulty,
23161,loop_latency,275,faulty,
23541,heap_free,8112,faulty,
23541,heap_used,0,faulty,
23542,loop_latency,281,faulty,
23927,heap_free,8112,faulty,
23927,heap_used,0,faulty,
23927,loop_latency,285,faulty,
24317,heap_free,8112,faulty,
24317,heap_used,0,faulty,
24317,loop_latency,290,faulty,
24713,heap_free,8112,faulty,
24713,heap_used,0,faulty,
24713,loop_latency,295,faulty,
25113,heap_free,8112,faulty,
25113,heap_used,0,faulty,
25113,loop_latency,300,faulty,
25518,heap_free,8112,faulty,
25518,heap_used,0,faulty,
25519,loop_latency,306,faulty,
25929,heap_free,8112,faulty,
25929,heap_used,0,faulty,
25929,loop_latency,310,faulty,
26344,heap_free,8112,faulty,
26344,heap_used,0,faulty,
26344,loop_latency,315,faulty,
26765,heap_free,8112,faulty,
26765,heap_used,0,faulty,
26765,loop_latency,320,faulty,
27190,heap_free,8112,faulty,
27190,heap_used,0,faulty,
27190,loop_latency,325,faulty,
27620,heap_free,8112,faulty,
27620,heap_used,0,faulty,
27621,loop_latency,331,faulty,
28056,heap_free,8112,faulty,
28056,heap_used,0,faulty,
28056,loop_latency,335,faulty,
28496,heap_free,8112,faulty,
28496,heap_used,0,faulty,
28496,loop_latency,340,faulty,
28942,heap_free,8112,faulty,
28942,heap_used,0,faulty,
28942,loop_latency,345,faulty,
29392,heap_free,8112,faulty,
29392,heap_used,0,faulty,
29392,loop_latency,350,faulty,
29847,heap_free,8112,faulty,
29847,heap_used,0,faulty,
29848,loop_latency,356,faulty,
30308,heap_free,8112,faulty,
30308,heap_used,0,faulty,
30308,loop_latency,360,faulty,
30773,heap_free,8112,faulty,
30773,heap_used,0,faulty,
30773,loop_latency,365,faulty,
31244,heap_free,8112,faulty,
31244,heap_used,0,faulty,
31244,loop_latency,370,faulty,
31719,heap_free,8112,faulty,
31719,heap_used,0,faulty,
31719,loop_latency,375,faulty,
32199,heap_free,8112,faulty,
32199,heap_used,0,faulty,
32200,loop_latency,381,faulty,
32685,heap_free,8112,faulty,
32685,heap_used,0,faulty,
32685,loop_latency,385,faulty,
33175,heap_free,8112,faulty,
33175,heap_used,0,faulty,
33175,loop_latency,390,faulty,
33671,heap_free,8112,faulty,
33671,heap_used,0,faulty,
33671,loop_latency,395,faulty,
